employee_id,first_name,last_name,department,job_title,job_level,location,region,manager_id,joining_date,exit_date,performance_rating,tenure_years,is_active,supervisor_id
1001,Joy,Cummings,Sales,Sales Executive,3,Chicago,EMEA,15618.0,01/01/2022,12/17/2022,1,0.96,False,10675.0
1002,Robert,Mullins,IT,IT Specialist,1,New York,EMEA,,05/22/2019,,5,6.2,True,11648.0
1003,Beverly,Patton,IT,IT Specialist,4,Seattle,APAC,3616.0,09/13/2023,,1,1.88,True,6575.0
1004,Christopher,Drake,Finance,Financial Analyst,2,San Francisco,NA,6636.0,09/07/2021,01/14/2024,1,2.35,False,14224.0
1005,Jodi,Gonzalez,Engineering,Engineering Manager,4,Seattle,NA,,01/04/2023,,4,2.58,True,11300.0
1006,Antonio,Valdez,Customer Support,Support Agent,1,New York,EMEA,15197.0,06/20/2022,,1,3.12,True,
1007,Erica,Contreras,Finance,Finance Manager,3,Chicago,APAC,12200.0,09/27/2015,,3,9.85,True,10981.0
1008,Audrey,Schmidt,Marketing,Marketing Specialist,2,Austin,LATAM,6314.0,03/22/2018,,5,7.37,True,13714.0
1009,James,Thomas,Engineering,Software Engineer,1,San Francisco,LATAM,10293.0,03/17/2016,,2,9.38,True,6156.0
1010,Tiffany,Arroyo,HR,HR Manager,4,Boston,LATAM,10198.0,03/30/2022,02/28/2025,2,2.92,False,13240.0
1011,Tanya,Le,IT,IT Manager,3,Chicago,EMEA,15109.0,11/24/2018,,1,6.69,True,
1012,Todd,Simmons,Marketing,Marketing Manager,5,New York,LATAM,10065.0,07/11/2017,,4,8.06,True,1189.0
1013,Erin,Cain,Sales,Sales Manager,3,New York,APAC,,06/30/2018,,4,7.09,True,12792.0
1014,Haley,Gardner,Finance,Financial Analyst,5,New York,APAC,3505.0,05/15/2018,,5,7.22,True,3647.0
1015,Peter,Wells,Engineering,Engineering Manager,3,Austin,NA,14627.0,02/29/2016,10/05/2018,3,2.6,False,4924.0
1016,Joe,Johnson,Engineering,Software Engineer,5,New York,NA,9728.0,11/17/2018,,1,6.71,True,3104.0
1017,Jessica,Bell,Operations,Operations Executive,3,Seattle,LATAM,12303.0,06/12/2022,,5,3.14,True,6108.0
1018,Andrea,Hunt,IT,IT Manager,4,Seattle,LATAM,,09/15/2019,07/15/2021,2,1.83,False,
1019,Margaret,Sanders,HR,HR Generalist,1,New York,NA,2161.0,04/09/2021,,1,4.32,True,5563.0
1020,Jose,Perez,Operations,Operations Executive,5,Chicago,LATAM,4120.0,10/13/2024,,4,0.8,True,
1021,Lisa,White,IT,IT Manager,4,Austin,LATAM,11588.0,08/27/2021,,1,3.93,True,
1022,Adam,Hull,IT,IT Manager,1,Chicago,EMEA,4007.0,02/19/2016,03/27/2021,4,5.1,False,5093.0
1023,Jason,Duncan,Sales,Sales Manager,5,New York,NA,2529.0,01/25/2024,,5,1.52,True,14906.0
1024,Ashley,Gibson,HR,HR Generalist,4,Austin,LATAM,3698.0,06/22/2021,,4,4.11,True,7397.0
1025,Karen,Fletcher,Finance,Finance Manager,3,Austin,LATAM,1959.0,08/29/2022,12/09/2023,3,1.28,False,9884.0
1026,Mark,Jimenez,Engineering,Engineering Manager,3,New York,NA,9702.0,09/07/2023,,5,1.9,True,9321.0
1027,Lance,Taylor,Sales,Sales Executive,1,Seattle,NA,15587.0,09/15/2019,,2,5.88,True,10486.0
1028,Mark,Torres,Engineering,Engineering Manager,1,Austin,APAC,6148.0,05/11/2017,,2,8.23,True,7485.0
1029,Matthew,Gutierrez,Marketing,Marketing Manager,4,San Francisco,NA,2639.0,12/09/2021,09/15/2024,5,2.77,False,
1030,Nathan,Fisher,HR,HR Manager,2,San Francisco,NA,8180.0,01/14/2017,,3,8.55,True,12527.0
1031,Keith,Perry,Finance,Financial Analyst,5,San Francisco,NA,15578.0,03/26/2019,,2,6.36,True,
1032,Tommy,Cruz,Marketing,Marketing Manager,3,Seattle,EMEA,14975.0,03/23/2025,,2,0.36,True,9005.0
1033,Tiffany,Jensen,Finance,Financial Analyst,1,Boston,LATAM,,07/14/2021,,1,4.05,True,11439.0
1034,Marcia,Johnson,Finance,Financial Analyst,4,Seattle,LATAM,,02/01/2022,,1,3.5,True,15810.0
1035,Vickie,Jones,Marketing,Marketing Specialist,3,Seattle,EMEA,15729.0,03/04/2017,,1,8.42,True,15102.0
1036,Marvin,Stafford,Engineering,Senior Engineer,2,Boston,EMEA,15486.0,05/18/2020,,3,5.21,True,11169.0
1037,Logan,Mccoy,Marketing,Marketing Specialist,2,Chicago,LATAM,7746.0,07/18/2019,06/19/2020,3,0.92,False,15157.0
1038,Tanner,Meyer,HR,HR Manager,2,Boston,NA,4645.0,09/07/2019,,1,5.9,True,8542.0
1039,Daniel,Mendez,Customer Support,Support Lead,2,Chicago,NA,15162.0,09/26/2021,,4,3.85,True,
1040,Calvin,Sanchez,Finance,Finance Manager,5,Austin,APAC,5280.0,01/08/2022,,1,3.56,True,5350.0
1041,Rebecca,Jackson,Engineering,Software Engineer,5,Austin,APAC,9380.0,01/27/2021,,3,4.51,True,
1042,Tanya,Brown,HR,HR Manager,1,Boston,LATAM,13157.0,05/04/2016,12/21/2020,5,4.64,False,4229.0
1043,Matthew,Rios,Customer Support,Support Lead,1,Boston,APAC,5921.0,01/13/2019,,1,6.55,True,11927.0
1044,Gail,Meyer,IT,IT Manager,4,Boston,APAC,7212.0,09/10/2022,,2,2.89,True,15792.0
1045,Dominique,Shields,Marketing,Marketing Manager,4,Seattle,NA,10503.0,02/08/2024,,2,1.48,True,6280.0
1046,Lynn,Baxter,Operations,Operations Manager,4,Boston,EMEA,5650.0,08/03/2017,,2,8.0,True,11371.0
1047,Thomas,Hahn,Customer Support,Support Agent,2,Boston,APAC,1758.0,12/23/2016,,2,8.61,True,8785.0
1048,Krystal,Sanders,Sales,Sales Manager,4,Boston,EMEA,4998.0,05/02/2023,,4,2.25,True,
1049,Maria,Miller,Engineering,Software Engineer,4,Chicago,EMEA,10133.0,05/30/2019,,5,6.18,True,14900.0
1050,Katie,Armstrong,Sales,Sales Manager,2,Austin,APAC,12785.0,04/15/2016,,4,9.3,True,7992.0
1051,Jessica,Berry,Operations,Operations Executive,4,Austin,APAC,9541.0,12/09/2018,,3,6.65,True,4920.0
1052,Laura,Sanchez,Finance,Finance Manager,1,Boston,APAC,9850.0,03/05/2024,,3,1.41,True,
1053,Christopher,Lawrence,Marketing,Marketing Specialist,4,Boston,EMEA,6422.0,07/09/2020,,1,5.07,True,7813.0
1054,Christian,Gallegos,Engineering,Software Engineer,4,Austin,NA,1097.0,07/07/2016,,5,9.07,True,5893.0
1055,Kent,Lutz,IT,IT Manager,5,Boston,EMEA,1476.0,04/18/2016,,3,9.29,True,11959.0
1056,Keith,Olson,IT,IT Specialist,4,Chicago,NA,1445.0,11/12/2023,,5,1.72,True,
1057,Christina,Davis,IT,IT Specialist,4,Chicago,NA,6356.0,06/22/2022,,3,3.11,True,15413.0
1058,Michael,Ramirez,IT,IT Manager,4,San Francisco,NA,,05/19/2021,,5,4.21,True,4674.0
1059,Kimberly,Tucker,Sales,Sales Executive,1,Chicago,EMEA,3069.0,11/13/2022,,5,2.72,True,2875.0
1060,Tina,Ford,HR,HR Manager,3,San Francisco,EMEA,3684.0,10/21/2024,,1,0.78,True,2772.0
1061,Carrie,Hamilton,Engineering,Senior Engineer,5,Boston,LATAM,,08/11/2022,,2,2.98,True,11277.0
1062,Olivia,Hill,HR,HR Generalist,3,Boston,NA,6689.0,07/04/2022,,5,3.08,True,11839.0
1063,Caroline,Long,Customer Support,Support Agent,5,Boston,APAC,2730.0,08/06/2017,12/28/2018,4,1.39,False,6935.0
1064,Brandon,Torres,Operations,Operations Executive,4,Chicago,APAC,8617.0,05/02/2025,,5,0.25,True,12978.0
1065,George,Rice,Finance,Finance Manager,2,New York,APAC,10337.0,12/05/2024,,2,0.65,True,7210.0
